Name,Email,Date,Feedback
Alice,alice@mail.com,01/11/2025,Great service!
Bob,bob@mail.com,02/11/2025,Satisfied
Charlie,charlie@mail.com,03/11/2025,Could improve
David,david@mail.com,04/11/2025,Excellent!
Eva,eva@mail.com,05/11/2025,Good experience
Frank,frank@mail.com,06/11/2025,Loved it
Grace,grace@mail.com,07/11/2025,Okay
Hannah,hannah@mail.com,08/11/2025,Not bad
Ian,ian@mail.com,09/11/2025,Very good
Jack,jack@mail.com,10/11/2025,Amazing
Karen,karen@mail.com,11/11/2025,Excellent service
Leo,leo@mail.com,12/11/2025,"Good, will return"
Mia,mia@mail.com,13/11/2025,Average experience
Nina,nina@mail.com,14/11/2025,Very happy
Oscar,oscar@mail.com,15/11/2025,Satisfied
